TIKCL;PFSGG;LQMKC;NPDBF;PEPKQ
GRNUN;JQNUN;SQLUI;EBMCR;MSJDM
GSOQP;QFDHI;MHBJG;TNIMU;JDMPL
KTSLP;NHUHT;DGUTU;URHTM;NLJDR
BIENF;PRQLP;CGMNP;LQUMN;QFULU
ILJGD;NOJME;NGUUG;BULLS;BRMKF
KFCQQ;IJNBB;PUKLH;KOTBR;KMHCR
JHDKD;UJOTQ;SECHC;OBFPR;UECSG
JRUQP;OPLKM;SUBDF;UQBPR;NDSID
JIUNH;LBFCT;HEIUI;QGDUK;MKPLI
UGHSC;FSLNI;SBRBS;IUJTJ;BUNTJ
GSDER;OFSPQ;IGFKM;FNITQ;GIFIR
TEMUT;PQJBC;LLITI;LSUDS;CENOR
CIDNN;QSFMP;GUHMH;KICML;RUTQP
UJRUU;KDMKE;NCTDQ;NCUKF;QUHKF
PGNKP;QJEQD;DIGDJ;PIJIK;IHMJG
MEFKC;GMJBU;JRENQ;OURFN;BONHT
UNCRB;HBORU;OKGBP;HENIB;RIELG
QTJSD;MGCOQ;OKEHU;RHMGJ;JGHIF
NJHGM;CNGGJ;LFRUP;HEPTK;FPCNI
RKIEG;OIRNS;QBFNR;KDHSM;BIJBB
THTEF;OLIII;BJTDM;RSUBE;UCEHB
IPJJU;IEOFD;HHIBC;HSLCI;JSRMI
UJIPM;GUJRQ;FGHQO;SNPSE;HUKES
RPMHM;QIMOJ;JTUME;BLDJQ;GFOFG
DKTFI;CBILQ;PTNFC;UIURO;LDGNF
EKPND;POKNO;OKSMC;NSHQO;BJBGR
DIPBF;NPNJG;DLFSG;OBQUR;FEDOI
MHGQT;FJTSM;ODSTP;GKMUB;QRTRJ
MLMEE;BPNHI;CBFLQ;RBHIR;MLHBU
QEKLF;DKEUU;EMPSI;MMFCP;DEGUQ
PTEBL;UPROG;JCGBT;INDEU;CDGBG
LFQKI;RNLIM;EQLKF;SFDCH;NLNBK
PRRNF;FQJUL;MBOKC;LDSLB;SOBDK
CQSNS;PPSIJ;LMMMT;HMPJB;RRFNQ
NICED;HCQFU;QEDTK;IFKIJ;SQTKG
FOTUK;UOGBS;DCTLF;PFHPO;OGULS
QSIMJ;QGHSB;CLNOM;IQLBM;KJCRQ
EGSLB;EONLQ;IGGOP;ONJBO;JRDLJ
RCFTJ;TFTCJ;FFGML;QJMSF;HQPKR
IBILB;TSEGK;TGTEJ;FLGTT;FFUKF
DLRLT;GPLQR;JBKLK;LGOIT;NPUND
PRUHH;UCNRR;JRTLB;UNPFU;JEEES
KOFEI;LLQFM;QLGOT;KNGTU;UTHKS
MPUMF;UJMNS;PQMNU;BNKTU;SLHRI
EHENO;JFLHE;LKDMC;BKSMK;HOMKU
UPDFQ;HUFEG;FHLUB;OEMPE;EPPBR
OSMKP;FPUMT;OKNQE;CFPMT;SQCSH
FJEFO;QLRMN;HLHHN;GHIOJ;FGNTD
RBKQR;EUNBI;MIQJC;SNRQS;DIFUO
GEGJS;EQQRB;QQBGQ;ELGQP;HBBGT
BPBRH;CFTGC;DMQJN;RMPJU;LDPOE
CBGOF;COOMP;FDTOM;GMNUN;OCUIN
DTBGN;KDJSC;BMLHM;DRJLM;FUGIG
OLOTO;FEKFM;NHFFT;UOQKQ;QLULT
GNELS;UGBOG;NNLIB;PLJNO;GDDUB
DDBLF;KJDGT;QBFKE;TQGDG;RGLLD
KKGHL;FOJNC;NPUHU;UPIJT;KECTP
JFLBK;FQLNH;MOQOD;QCMKU;KHUPB
SQGMF;DGPRP;LHPSG;GUKHE;RTOOK
CBMUU;PJELN;CPUQM;MKJCI;JDQFQ
ROLGF;IPQTI;FPTET;KDFEP;GSLNO
DCUUU;LQLIE;CPREJ;SHRSF;HDBIT
QJONH;EQIJI;DOHBP;LHSQJ;PTNLM
DGFJQ;CQOEJ;CSNCD;HLSKP;MKCLD
ECRRK;PDRNB;SJENU;IUMEP;RFBGE
PCCDO;DOGLK;COQPC;SDDMI;OOMDQ
IKOQC;QSBKK;LINPN;GLIPF;PIMLJ
BIMTJ;LCCLG;LNRLJ;SQEFQ;SPPBH
QIUCS;KITIT;PRUKU;JMHGU;LLSCR
QLLUL;TDUBG;EPIMR;NSKJF;GLILB
MFUGN;RFRTF;FUCIM;GSRFR;OFIDE
HOPFJ;CEJKN;KPJEM;CQUEJ;ERQEG
IFKDU;FQTRT;QLKPI;TIBSU;OSOEN
UGPJS;MSPJO;CHQKI;KEOUK;SBUET
KJNRR;SCDGL;BOBQL;HKELF;PPPIE
IGMDU;MHHPM;KMLIH;FNDFB;CIKNO
OSGRH;PCILS;LUTMS;LLEMP;ELEJD
LTHIE;PKEBH;FOOHC;FPNOH;DPSLK
UBIMC;GPBGC;LENHU;HCJIF;MKNTT
MISBF;UDMIJ;BHTJT;POHOH;MJNOG
PJOCJ;KRTPM;LTKLI;PKEQL;JMQQK
KTBTP;DOTUF;BGTRS;ISOMS;BSPBO
RMMUF;FKHPH;GRNKS;EJILG;TBJTU
